Date,Open,High,Low,Close,Adj Close,Volume
2016-08-22,160.000000,160.570007,159.130005,160.000000,154.166824,2039300
2016-08-23,160.330002,161.339996,160.229996,160.259995,154.417328,2838100
2016-08-24,159.889999,160.179993,158.320007,159.050003,153.251465,3645800
2016-08-25,159.000000,159.539993,158.419998,158.630005,152.846771,2575000
2016-08-26,158.880005,160.440002,157.850006,158.320007,152.548080,2498900
2016-08-29,158.830002,160.210007,158.500000,159.720001,153.897034,2475900
2016-08-30,159.759995,160.149994,158.809998,159.399994,153.588684,1813300
2016-08-31,159.660004,159.660004,158.259995,158.880005,153.087646,2323600
2016-09-01,158.320007,159.619995,158.100006,159.539993,153.723587,2358400
2016-09-02,159.880005,160.570007,159.149994,159.550003,153.733231,2315400
2016-09-06,159.880005,160.860001,159.110001,160.350006,154.504059,2994100
2016-09-07,160.190002,161.759995,160.000000,161.639999,155.747040,2867300
2016-09-08,160.550003,161.210007,158.759995,159.000000,153.203278,3963200
2016-09-09,158.029999,158.399994,155.649994,155.690002,150.013962,5186000
2016-09-12,155.259995,158.529999,154.839996,158.289993,152.519165,4367500
2016-09-13,157.630005,157.929993,155.500000,155.809998,150.129562,3636700
2016-09-14,155.699997,155.869995,153.389999,154.050003,148.433731,3860600
2016-09-15,154.300003,156.330002,153.210007,155.660004,149.985046,3645600
2016-09-16,155.039993,155.399994,153.470001,153.839996,148.231400,6463600
2016-09-19,154.869995,156.190002,154.550003,154.869995,149.223831,2450100
2016-09-20,155.869995,156.570007,154.449997,154.449997,148.819153,2159100
2016-09-21,154.910004,155.679993,153.869995,155.529999,149.859787,2473900
2016-09-22,156.149994,157.220001,155.690002,156.110001,150.418640,2691100
2016-09-23,155.619995,156.039993,154.710007,154.979996,149.329834,2702200
2016-09-26,154.460007,154.460007,153.460007,153.979996,148.366287,2533300
2016-09-27,154.320007,156.770004,153.809998,156.770004,151.054581,2987200
2016-09-28,156.990005,158.630005,156.229996,158.289993,152.519165,3310000
2016-09-29,158.630005,165.000000,157.460007,158.110001,152.345734,3374800
2016-09-30,158.899994,159.839996,158.059998,158.850006,153.058746,3596900
2016-10-03,158.059998,158.369995,157.020004,157.610001,151.863937,2227800
2016-10-04,157.669998,158.529999,155.820007,156.460007,150.755890,2884100
2016-10-05,157.070007,157.830002,156.720001,157.080002,151.353271,1684500
2016-10-06,156.839996,157.429993,155.889999,156.880005,151.160553,1950100
2016-10-07,157.139999,157.699997,154.860001,155.669998,149.994675,2671900
2016-10-10,156.710007,158.490005,156.660004,157.020004,151.295471,2481300
2016-10-11,156.729996,156.949997,153.889999,154.789993,149.146759,2901300
2016-10-12,154.970001,154.970001,153.080002,154.289993,148.664978,2964000
2016-10-13,153.699997,154.220001,152.270004,153.720001,148.115768,2909900
2016-10-14,154.470001,155.529999,154.089996,154.449997,148.819153,4358200
2016-10-17,154.449997,155.889999,154.339996,154.770004,149.127487,5890400
2016-10-18,150.020004,151.000000,147.789993,150.720001,145.225143,12770600
2016-10-19,151.270004,152.449997,150.830002,151.259995,145.745468,4632900
2016-10-20,151.279999,152.899994,151.020004,151.520004,145.995972,4023100
2016-10-21,150.580002,151.149994,149.559998,149.630005,144.174881,4414200
2016-10-24,150.399994,151.520004,150.399994,150.570007,145.080612,2666700
2016-10-25,150.570007,151.160004,149.830002,150.880005,145.379303,2647500
2016-10-26,150.710007,152.940002,150.259995,151.809998,146.275406,2811700
2016-10-27,152.820007,154.059998,152.020004,153.350006,147.759277,4229300
2016-10-28,154.050003,154.440002,152.179993,152.610001,147.046234,3654500
2016-10-31,152.759995,154.330002,152.759995,153.690002,148.086884,3553200
2016-11-01,153.500000,153.910004,151.740005,152.789993,147.219666,3191900
2016-11-02,152.479996,153.350006,151.669998,151.949997,146.410294,3074400
2016-11-03,152.509995,153.740005,151.800003,152.369995,146.814987,2878800
2016-11-04,152.399994,153.639999,151.869995,152.429993,146.872772,2470400
2016-11-07,153.990005,156.110001,153.839996,155.720001,150.042847,3804900
2016-11-08,154.559998,155.929993,153.059998,155.169998,150.869293,3915000
2016-11-09,152.960007,155.559998,151.000000,154.809998,150.519257,5403700
2016-11-10,157.660004,161.160004,157.589996,160.220001,155.779327,7715800
2016-11-11,159.970001,161.339996,159.330002,161.270004,156.800217,4436400
2016-11-14,161.250000,161.860001,157.580002,158.210007,153.825027,5196500
2016-11-15,158.419998,159.149994,157.550003,158.669998,154.272293,3477000
2016-11-16,158.460007,159.550003,158.029999,159.289993,154.875092,2252800
2016-11-17,159.220001,159.929993,158.850006,159.800003,155.370972,2261200
2016-11-18,159.800003,160.720001,159.210007,160.389999,155.944611,2981600
2016-11-21,160.690002,163.000000,160.369995,162.770004,158.258652,4637100
2016-11-22,163.000000,163.000000,161.949997,162.669998,158.161423,2770800
2016-11-23,161.940002,162.380005,161.360001,161.979996,157.490540,2252700
2016-11-25,161.830002,163.190002,161.830002,163.139999,158.618393,1605300
2016-11-28,163.199997,164.660004,162.699997,164.520004,159.960144,4449400
2016-11-29,164.000000,164.410004,163.029999,163.529999,158.997589,3148200
2016-11-30,163.350006,163.800003,162.210007,162.220001,157.723907,4397800
2016-12-01,161.949997,162.199997,158.300003,159.820007,155.390427,4635700
2016-12-02,159.000000,160.289993,158.410004,160.020004,155.584885,2740900
2016-12-05,160.850006,161.149994,159.589996,159.839996,155.409851,3447100
2016-12-06,160.130005,160.789993,158.929993,160.350006,155.905731,2859000
2016-12-07,160.600006,165.179993,160.389999,164.789993,160.222656,4435100
2016-12-08,164.869995,166.000000,164.220001,165.360001,160.776871,3266400
2016-12-09,165.179993,166.720001,164.600006,166.520004,161.904724,3146900
2016-12-12,166.720001,166.789993,165.070007,165.500000,160.912994,3392300
2016-12-13,165.679993,169.949997,165.679993,168.289993,163.625656,5932300
2016-12-14,168.369995,169.889999,167.449997,168.509995,163.839554,4124200
2016-12-15,168.009995,169.850006,167.779999,168.020004,163.363144,3388600
2016-12-16,168.970001,169.110001,166.059998,166.729996,162.108887,7120600
2016-12-19,166.830002,167.259995,166.000000,166.679993,162.060272,2955900
2016-12-20,167.490005,168.250000,166.449997,167.600006,162.954803,2174600
2016-12-21,166.250000,167.940002,165.250000,167.330002,162.692261,3575700
2016-12-22,167.360001,168.229996,166.580002,167.059998,162.429733,2802600
2016-12-23,167.000000,167.490005,166.449997,166.710007,162.089447,1699200
2016-12-27,166.979996,167.979996,166.850006,167.139999,162.507523,1397500
2016-12-28,167.289993,167.740005,166.000000,166.190002,161.583878,1757500
2016-12-29,166.020004,166.990005,166.000000,166.600006,161.982513,1663500
2016-12-30,166.440002,166.699997,165.500000,165.990005,161.389404,2952800
2017-01-03,167.000000,167.869995,166.009995,167.190002,162.556152,2934300
